Name,NPC,Rarity,Source,img URL,#
Apocalypse Underwear,n/a,Limited,n/a,https://dappervolk.com/img/avatar_gen/underwears/0/1-SwgjWbL1WP-th.png,0
Bandages Underwear,n/a,Limited,n/a,https://dappervolk.com/img/avatar_gen/underwears/0/2-aeuactpfHc-th.png,0
Cloudy Underwear,n/a,Limited,n/a,https://dappervolk.com/img/avatar_gen/underwears/0/3-g67z4sxWTo-th.png,0
Fiery Underwear,n/a,Limited,n/a,https://dappervolk.com/img/avatar_gen/underwears/0/4-nbA4iJdN9t-th.png,0
Leafy Underwear,n/a,Limited,n/a,https://dappervolk.com/img/avatar_gen/underwears/0/5-A3NrB48sG5-th.png,0
Bikini Underwear,n/a,Limited,n/a,https://dappervolk.com/img/avatar_gen/underwears/0/6-BfcCq8G0pY-th.png,0
Torn Underwear,n/a,Limited,n/a,https://dappervolk.com/img/avatar_gen/underwears/0/7-cDInLagiSX-th.png,0
Clear Brown Human Eyes,Declan,Common,Peddler's Port,https://dappervolk.com/img/items/0/18-lKHuQFftCs-clear-brown-human-eyes.png,18
Clear Blue Human Eyes,Declan,Common,Peddler's Port,https://dappervolk.com/img/items/0/19-seMtOSM0zF-clear-blue-human-eyes.png,19
Human Cowlick Hair Brown,Declan,Common,Peddler's Port,https://dappervolk.com/img/items/0/20-PkvFThasC2-human-cowlick-hair-brown.png,20
Human Cowlick Hair Blonde,Declan,Common,Peddler's Port,https://dappervolk.com/img/items/0/21-xivjWWlfgw-human-cowlick-hair-blonde.png,21
Human Cowlick Hair Red,Declan,Common,Peddler's Port,https://dappervolk.com/img/items/0/22-22iYQraPcK-human-cowlick-hair-red.png,22
Human Long Hair Black,Declan,Common,Peddler's Port,https://dappervolk.com/img/items/0/23-qwOmY79NLJ-human-long-hair-black.png,23
Human Long Hair Dusty Pink,Declan,Common,Peddler's Port,https://dappervolk.com/img/items/0/24-iFZKRuVAJV-human-long-hair-dusty-pink.png,24
Human Long Hair Honey Brown,Declan,Common,Peddler's Port,https://dappervolk.com/img/items/0/25-T8d0Oed5oU-human-long-hair-honey-brown.png,25
Human Cheerful Bob Blonde,Declan,Common,Peddler's Port,https://dappervolk.com/img/items/0/26-ftiMxps2lE-human-cheerful-bob-blonde.png,26
Human Cheerful Bob Brown,Declan,Common,Peddler's Port,https://dappervolk.com/img/items/0/27-KhtnIiulUb-human-cheerful-bob-brown.png,27
Human Cheerful Bob Umber,Declan,Common,Peddler's Port,https://dappervolk.com/img/items/0/28-kz4l1eksL4-human-cheerful-bob-umber.png,28
Pouting Human Mouth,Declan,Common,Peddler's Port,https://dappervolk.com/img/items/0/29-uNg21YTlgn-pouting-human-mouth.png,29
Human Skin Pale,Declan,Common,Peddler's Port,https://dappervolk.com/img/items/0/30-ARmjTIV246-human-skin-pale.png,30
Human Skin Tan Freckled,Declan,Common,Peddler's Port,https://dappervolk.com/img/items/0/31-pHMoykwYfb-human-skin-tan-freckled.png,31
Human Skin Dark,Declan,Common,Peddler's Port,https://dappervolk.com/img/items/0/32-Il3J9Kd2gI-human-skin-dark.png,32
Animal Brown Rabbit Ears,Moira,Common,Peddler's Port,https://dappervolk.com/img/items/0/33-Tu997evohN-animal-brown-rabbit-ears.png,33
Animal Black Cat Ears,Moira,Common,Peddler's Port,https://dappervolk.com/img/items/0/34-ULsUjYEL0h-animal-black-cat-ears.png,34
Animal Red Wolf Ears,Moira,Common,Peddler's Port,https://dappervolk.com/img/items/0/35-CWrLiR6EQL-animal-red-wolf-ears.png,35
Basic Golden Animal Eyes,Moira,Common,Peddler's Port,https://dappervolk.com/img/items/0/36-5mJrMP4Xry-basic-golden-animal-eyes.png,36
Basic Red Animal Eyes,Moira,Common,Peddler's Port,https://dappervolk.com/img/items/0/37-i8gMAKRyw0-basic-red-animal-eyes.png,37
Basic Brown Animal Eyes,Moira,Common,Peddler's Port,https://dappervolk.com/img/items/0/38-BwkXIobnQq-basic-brown-animal-eyes.png,38
Animal Wavy Long Hair Black,Moira,Common,Peddler's Port,https://dappervolk.com/img/items/0/39-73r9jDFvi8-animal-wavy-long-hair-black.png,39
Animal Wavy Long Hair Pink,Moira,Common,Peddler's Port,https://dappervolk.com/img/items/0/40-mbs5NHoIem-animal-wavy-long-hair-pink.png,40
Animal Wavy Long Hair Honey,Moira,Common,Peddler's Port,https://dappervolk.com/img/items/0/41-IdHUJRnvL7-animal-wavy-long-hair-honey.png,41
Animal Curly Short Bob Gray,Moira,Common,Peddler's Port,https://dappervolk.com/img/items/0/42-9nrBZgfPFT-animal-curly-short-bob-gray.png,42
Animal Curly Short Bob Honey,Moira,Common,Peddler's Port,https://dappervolk.com/img/items/0/43-YKJSVuLg3H-animal-curly-short-bob-honey.png,43
Animal Curly Short Bob Black,Moira,Common,Peddler's Port,https://dappervolk.com/img/items/0/44-ecYEYFfzkJ-animal-curly-short-bob-black.png,44
Cheerful Animal Mouth,Moira,Common,Peddler's Port,https://dappervolk.com/img/items/0/45-uI2ReVIx2l-cheerful-animal-mouth.png,45
Animal Skin Light Stripes,Moira,Common,Peddler's Port,https://dappervolk.com/img/items/0/46-j5dIJgek5Q-animal-skin-light-stripes.png,46
Animal Skin Mottled,Moira,Common,Peddler's Port,https://dappervolk.com/img/items/0/47-rrtvXDAnzW-animal-skin-mottled.png,47
Animal Skin Dark Stripes,Moira,Common,Peddler's Port,https://dappervolk.com/img/items/0/48-CUu03QNQs0-animal-skin-dark-stripes.png,48
Animal Bunny Tail,Moira,Common,Peddler's Port,https://dappervolk.com/img/items/0/49-ZAol6VI3b7-animal-bunny-tail.png,49
Animal Cat Tail,Moira,Common,Peddler's Port,https://dappervolk.com/img/items/0/50-SGzVuL5e0M-animal-cat-tail.png,50
Animal Wolf Tail,Moira,Common,Peddler's Port,https://dappervolk.com/img/items/0/51-0K69mCN48q-animal-wolf-tail.png,51
Shining Elven Eyes Gold,Vierre,Common,Peddler's Port,https://dappervolk.com/img/items/0/52-JMNQJohtmh-shining-elven-eyes-gold.png,52
Shining Elven Eyes Blue,Vierre,Common,Peddler's Port,https://dappervolk.com/img/items/0/53-EkIjhh2Typ-shining-elven-eyes-blue.png,53
Shining Elven Eyes Green,Vierre,Common,Peddler's Port,https://dappervolk.com/img/items/0/54-MJ1cEqk9Hk-shining-elven-eyes-green.png,54
Elven Long Braid Blonde,Vierre,Common,Peddler's Port,https://dappervolk.com/img/items/0/55-nvG5fKMZQ0-elven-long-braid-blonde.png,55
Elven Long Braid Brown,Vierre,Common,Peddler's Port,https://dappervolk.com/img/items/0/56-TNNu9qkuRd-elven-long-braid-brown.png,56
Elven Long Braid Silver,Vierre,Common,Peddler's Port,https://dappervolk.com/img/items/0/57-p0IeNswhfg-elven-long-braid-silver.png,57
Elven Side Braid Silver,Vierre,Common,Peddler's Port,https://dappervolk.com/img/items/0/58-X557trkwcK-elven-side-braid-silver.png,58
Elven Side Braid Honey,Vierre,Common,Peddler's Port,https://dappervolk.com/img/items/0/59-eOqyIpnXps-elven-side-braid-honey.png,59
Elven Side Braid Red,Vierre,Common,Peddler's Port,https://dappervolk.com/img/items/0/60-9wE08ZlyKd-elven-side-braid-red.png,60
Elven Tied Hair Black,Vierre,Common,Peddler's Port,https://dappervolk.com/img/items/0/61-NAoJxwmpYa-elven-tied-hair-black.png,61
Elven Tied Hair Brown,Vierre,Common,Peddler's Port,https://dappervolk.com/img/items/0/62-JvhAZE9zPI-elven-tied-hair-brown.png,62
Elven Tied Hair Blonde,Vierre,Common,Peddler's Port,https://dappervolk.com/img/items/0/63-wVLB8Q6N8r-elven-tied-hair-blonde.png,63
Pensive Elven Mouth,Vierre,Common,Peddler's Port,https://dappervolk.com/img/items/0/64-ssEh7dczJB-pensive-elven-mouth.png,64
Elven Skin Pale,Vierre,Common,Peddler's Port,https://dappervolk.com/img/items/0/65-oZujavmhjn-elven-skin-pale.png,65
Elven Skin Wooden,Vierre,Common,Peddler's Port,https://dappervolk.com/img/items/0/66-2ID6Cb4Els-elven-skin-wooden.png,66
Elven Skin Midnight,Vierre,Common,Peddler's Port,https://dappervolk.com/img/items/0/67-GU4afMSVZL-elven-skin-midnight.png,67
Galactic Ring Antenna,Andromeda,Common,Peddler's Port,https://dappervolk.com/img/items/0/68-p2iUlUkkE0-galactic-ring-antenna.png,68
Galactic Tiara Antenna,Andromeda,Common,Peddler's Port,https://dappervolk.com/img/items/0/69-amE3LnatGy-galactic-tiara-antenna.png,69
Galactic Trident Antenna,Andromeda,Common,Peddler's Port,https://dappervolk.com/img/items/0/70-UNnfU39HVU-galactic-trident-antenna.png,70
